epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,4062.18,1.11902,0.61989,1.131,0.94199,0.89148,0.94842,0.61639,1.18825,0.54836,1.1253,6.535e-05,6.535e-05,6.535e-05
72,4118.27,1.12966,0.62717,1.13542,0.92064,0.88712,0.94418,0.61492,1.18126,0.54949,1.12479,6.4855e-05,6.4855e-05,6.4855e-05
73,4174.53,1.13269,0.62869,1.1328,0.92157,0.88707,0.94756,0.6181,1.19047,0.54364,1.12813,6.436e-05,6.436e-05,6.436e-05
74,4231.56,1.11613,0.62117,1.13198,0.91933,0.89379,0.94904,0.62539,1.16916,0.54129,1.11942,6.3865e-05,6.3865e-05,6.3865e-05
75,4287.16,1.11818,0.61825,1.13076,0.9414,0.88627,0.95174,0.62458,1.16711,0.54366,1.11984,6.337e-05,6.337e-05,6.337e-05
76,4342.87,1.10847,0.60222,1.11989,0.92982,0.89804,0.9488,0.62043,1.18198,0.54294,1.12363,6.2875e-05,6.2875e-05,6.2875e-05
77,4399.57,1.11255,0.61145,1.13081,0.92722,0.88725,0.94766,0.61966,1.19589,0.53852,1.13162,6.238e-05,6.238e-05,6.238e-05
78,4456.5,1.11211,0.6151,1.12605,0.93688,0.89804,0.95363,0.62227,1.16722,0.5255,1.1219,6.1885e-05,6.1885e-05,6.1885e-05
79,4513.51,1.10273,0.59752,1.12236,0.93851,0.89804,0.95083,0.62475,1.16497,0.52652,1.11912,6.139e-05,6.139e-05,6.139e-05
80,4568.48,1.11116,0.60998,1.13122,0.91963,0.89749,0.95254,0.62266,1.16385,0.52956,1.12063,6.0895e-05,6.0895e-05,6.0895e-05
81,4623.96,1.11159,0.61072,1.13037,0.93549,0.89706,0.95155,0.62729,1.16965,0.52471,1.1183,6.04e-05,6.04e-05,6.04e-05
82,4680.54,1.09021,0.59578,1.12215,0.92582,0.90686,0.95433,0.63103,1.16085,0.52096,1.11842,5.9905e-05,5.9905e-05,5.9905e-05
83,4736.15,1.0951,0.59632,1.11555,0.93091,0.89706,0.94981,0.62868,1.15076,0.51716,1.11812,5.941e-05,5.941e-05,5.941e-05
84,4791.27,1.08854,0.59343,1.11737,0.93311,0.88891,0.95133,0.63073,1.16775,0.52443,1.12065,5.8915e-05,5.8915e-05,5.8915e-05
